Order_ID,Order_Date,Region,Product_Category,Sales_Rep,Sales_Amount,Quantity_Sold,Discount_Percentage,Customer_Rating,Company_Name
100000,2022-07-21,East,Electronics,David,3206.795425001732,5,0.08958207836533927,4.130594721800353,Insight Corp
100001,2024-02-10,West,Electronics,Charlie,5936.909967341417,4,0.38731115244512304,4.4484358970815325,Insight Corp
100002,2023-10-01,North,Furniture,Eva,,4,0.23697452892676563,4.25525644154682,Insight Corp
100003,2022-04-05,East,Electronics,Alice,5256.866071527494,10,0.1067540029610754,4.556881493180983,Insight Corp
100004,2024-02-14,East,Electronics,Bob,4577.809880167557,5,0.031509736792498744,,Insight Corp
100005,2023-03-28,West,Furniture,Charlie,4990.907261339607,8,0.22206262414786504,3.511510562319924,Insight Corp
100006,2024-09-04,North,,Alice,4326.071978096287,8,0.2644246946019011,3.4468925371076726,Insight Corp
100007,2022-10-27,North,Groceries,Alice,3547.874616269258,3,0.2966516787230658,1.1774353654383845,Insight Corp
100008,2022-12-03,East,Electronics,Bob,5710.597491152986,6,0.043545400648032806,1.1021576666578095,Insight Corp
100009,2024-02-24,South,Electronics,Bob,4095.31986766082,7,0.18714633444092854,4.503103729780458,Insight Corp
100010,2022-02-27,,Furniture,David,5245.9272213422155,6,0.17237284597186336,1.0707930178348128,Insight Corp
100011,2022-07-08,East,Furniture,Eva,5615.690332853117,5,0.16477722772806846,3.9198519728896937,Insight Corp
100012,2023-10-19,East,Groceries,Charlie,4119.780926595377,6,0.444281550608086,2.717960337857264,Insight Corp
100013,2022-09-30,East,Clothing,Eva,3194.1715484405227,2,0.18130434854771021,1.1577550019669758,Insight Corp
100014,2022-07-16,West,Electronics,Charlie,8639.12842077958,4,0.31867733325853226,4.403620012997436,Insight Corp
100015,2022-12-11,North,Clothing,Alice,4208.342186081861,4,0.4411501283579524,2.5586388280571954,Insight Corp
100016,2023-09-04,West,Clothing,Bob,5935.125737901738,2,0.002380592192304243,3.9415913867436925,Insight Corp
100017,2022-11-14,West,Furniture,Bob,71182.75791919668,3,0.37073569861996175,3.003790045195994,Insight Corp
100018,2023-08-19,West,Electronics,Alice,6184.86162028084,5,0.32536739874451004,4.477273558918698,Insight Corp
100019,2023-02-27,East,Electronics,Alice,4549.335786758673,5,0.45504945941574293,3.008807614292833,Insight Corp
100020,2023-07-30,South,Furniture,Charlie,4899.325418697333,5,0.2272934817178564,4.020425893119836,Insight Corp
100021,2024-09-19,North,Clothing,Alice,,8,0.47850806478136104,3.40016501774569,Insight Corp
100022,2023-05-18,South,Furniture,Charlie,6322.544640436613,3,0.23257722730977493,4.1258629933787905,Insight Corp
100023,2023-10-17,West,Groceries,Eva,5849.406062088033,3,0.03272655455249451,1.4360169728742607,Insight Corp
100024,2024-06-16,West,Electronics,Bob,4228.361272607385,5,0.3835215180135882,,Insight Corp
100025,2024-05-22,South,Groceries,Bob,3436.7377893523335,1,0.011775862617009747,2.4683806035864078,Insight Corp
100026,2023-06-28,South,Furniture,Bob,3018.1493935044628,5,0.4831449898235558,1.447562129523627,Insight Corp
100027,2022-04-25,,Electronics,Eva,6479.771005706301,5,0.00027796544309433013,4.583268915342568,Insight Corp
100028,2022-05-21,West,Groceries,Eva,5180.559693433341,3,0.3523329820833382,2.0644744793521195,Insight Corp
100029,2023-08-02,West,Groceries,David,5322.476804499127,4,0.05205953243140887,4.112123983818507,Insight Corp
100030,2023-10-28,North,Clothing,Charlie,3765.5770612064644,5,0.25169006381404707,2.945568356570722,Insight Corp
100031,2022-10-24,North,,Charlie,2804.745345043391,4,0.060686247686500217,4.551333194536708,Insight Corp
100032,2022-05-22,West,Groceries,David,6443.920362067449,8,0.2868955794026593,3.918913442335981,Insight Corp
100033,2022-08-07,South,Groceries,Bob,5063.058555495846,3,0.2792461956059385,4.030471420029801,Insight Corp
100034,2022-03-29,South,Clothing,Charlie,6360.85199008643,5,0.03412845743140347,2.947748475056318,Insight Corp
100035,2024-01-20,North,Groceries,Charlie,4421.100310226654,7,0.07325119631581789,2.5570051347228504,Insight Corp
100036,2023-02-18,West,Groceries,Bob,4644.773235444713,8,0.3569782972740086,2.8741296389905617,Insight Corp
100037,2023-02-08,North,Groceries,Alice,6069.947264930948,5,0.33293970825539704,2.957977052015601,Insight Corp
100038,2023-03-12,North,Clothing,Alice,6098.522119475787,1,0.14501730812950153,1.2356226171326203,Insight Corp
100039,2023-02-22,,Groceries,David,6196.3484340289315,4,0.09121373695946106,1.4252822370998848,Insight Corp
100040,2024-04-15,East,Groceries,Eva,4557.198120345955,3,0.33800003959882885,2.1577255446261834,Insight Corp
100041,2022-09-30,East,Electronics,Charlie,5921.820856476302,4,0.26847701015324055,2.654219925747941,Insight Corp
100042,2023-07-16,South,Electronics,Charlie,6663.649198215078,4,0.1258041241191618,1.269034770259991,Insight Corp
100043,2022-03-17,West,Clothing,David,4842.841982477698,1,0.48935805322424997,2.9203610768508907,Insight Corp
100044,2022-11-22,West,Furniture,David,4229.767454338919,3,0.1891177950409269,3.323135817082387,Insight Corp
100045,2022-08-09,,Electronics,Charlie,7014.121404975149,10,0.3432893053701166,4.843070133464581,Insight Corp
100046,2024-07-06,West,Clothing,Bob,4018.3313996730394,2,0.4418696359319083,1.4177189286404803,Insight Corp
100047,2022-05-29,East,,Bob,5944.214745671716,4,0.4766918661755171,4.238820909353096,Insight Corp
100048,2024-09-01,South,,Eva,4912.3665342202075,90,0.44805437042527896,,Insight Corp
100049,2022-02-09,South,Clothing,Charlie,2237.6515752731593,8,0.2960547899427081,3.9826011600433455,Insight Corp
100050,2023-10-06,East,Groceries,Charlie,,4,0.10463999598616508,4.381462105415334,Insight Corp
100051,2024-07-27,South,Groceries,Charlie,863.2195556789484,2,0.46357797551965246,4.861916723072847,Insight Corp
